Date,Category,Amount,Payment Mode
01-Apr-26,Food,250,UPI
01-Apr-26,Transport,120,Cash
02-Apr-26,Shopping,1500,Card
02-Apr-26,Food,300,UPI
03-Apr-26,Bills,900,UPI
03-Apr-26,Entertainment,600,Card
04-Apr-26,Food,200,UPI
04-Apr-26,Transport,150,Cash
05-Apr-26,Shopping,2200,Card
05-Apr-26,Food,350,UPI
06-Apr-26,Bills,1200,UPI
06-Apr-26,Entertainment,700,Card
07-Apr-26,Food,400,UPI
07-Apr-26,Transport,180,Cash
08-Apr-26,Shopping,800,Card
08-Apr-26,Food,280,UPI
09-Apr-26,Bills,950,UPI
09-Apr-26,Entertainment,500,Card
10-Apr-26,Food,320,UPI
10-Apr-26,Transport,140,Cash
11-Apr-26,Shopping,1800,Card
11-Apr-26,Food,260,UPI
12-Apr-26,Bills,1100,UPI
12-Apr-26,Entertainment,650,Card
13-Apr-26,Food,300,UPI
13-Apr-26,Transport,160,Cash
14-Apr-26,Shopping,1400,Card
14-Apr-26,Food,350,UPI
15-Apr-26,Bills,1000,UPI
15-Apr-26,Entertainment,550,Card
16-Apr-26,Food,270,UPI
16-Apr-26,Transport,130,Cash
17-Apr-26,Shopping,2000,Card
17-Apr-26,Food,320,UPI
18-Apr-26,Bills,950,UPI
18-Apr-26,Entertainment,600,Card
19-Apr-26,Food,290,UPI
19-Apr-26,Transport,170,Cash
20-Apr-26,Shopping,1600,Card
20-Apr-26,Food,310,UPI
21-Apr-26,Bills,1050,UPI
21-Apr-26,Entertainment,700,Card
22-Apr-26,Food,330,UPI
22-Apr-26,Transport,150,Cash
23-Apr-26,Shopping,1900,Card
23-Apr-26,Food,360,UPI
24-Apr-26,Bills,1150,UPI
24-Apr-26,Entertainment,650,Card
25-Apr-26,Food,280,UPI
25-Apr-26,Transport,140,Cash
26-Apr-26,Shopping,2100,Card
26-Apr-26,Food,340,UPI
27-Apr-26,Bills,980,UPI
27-Apr-26,Entertainment,720,Card
28-Apr-26,Food,300,UPI
28-Apr-26,Transport,160,Cash
29-Apr-26,Shopping,1700,Card
29-Apr-26,Food,350,UPI
30-Apr-26,Bills,1200,UPI
30-Apr-26,Entertainment,800,Card
